Quest.;Curso;Turno;Semestre;sexo;idade;CF;Estado civil;RMI;RF;Fonte de renda;Municipio;Acesso a Internet;Horas de acesso;MTG;CUCMF;ACAI;UICSF;UIDA;UBDA;CEA;CFPP;CPC;PQC;PQNC;IPIC;PIPI;SNC;CCPI;MGCO;FDC;DU;TDP;CATCP;CPE;ECE;MIN;MIP;ADC;IMPORTAÇÃO;TPI
53;Historia;manhã;III;0;18;4;0;0,00;1500,00;0;Crato;1;2;0;1;1;1;1;0;1;0;0;;1;2;1;2;0;0;0;0;0;0;0;0;2;2;2;0;
54;Historia;manhã;V;0;19;5;0;0,00;400,00;0;Crato;1;3;0;0;1;0;1;0;0;0;0;;0;0;0;1;1;0;0;3;2;0;0;1;0;1;3;0;
55;Historia;manhã;V;1;22;1;0;998,00;998,00;1;Barbalha;1;2;2;0;0;1;1;0;1;1;0;;1;2;1;1;1;2;5;3;1;0;0;0;0;0;0;0;
56;Historia;noite;III;1;20;5;0;200,00;600,00;2;Varzea Alegre;1;2;2;0;1;0;1;0;0;1;0;;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;1
57;Biologia;noite;IX;1;23;4;0;998,00;998,00;2;Barro;1;1;0;2;1;0;1;0;0;1;0;;1;2;1;2;1;0;6;3;3;0;0;0;1;2;0;0;
58;Biologia;noite;IX;0;23;5;0;998,00;998,00;1;Jardim;1;1;2;0;1;0;1;0;0;0;0;;1;2;0;2;0;0;0;0;0;0;0;0;1;1;2;0;
59;Biologia;noite;IX;0;22;2;0;800,00;800,00;2;Juazeiro do Norte;1;2;2;4;1;1;1;0;1;2;0;;0;0;1;2;1;0;6;3;1;0;0;3;3;3;2;0;
60;Biologia;Integral;II;0;18;6;0;0,00;998,00;0;Juazeiro do Norte;1;1;2;0;1;0;1;0;0;1;0;;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
61;Biologia;Integral;I;1;18;3;0;0,00;3992,00;0;Juazeiro do Norte;1;2;0;1;1;1;1;1;0;2;1;2;;2;1;2;0;1;6;3;3;1;1;1;1;0;2;1;3
62;Biologia;noite;III;1;28;2;0;500,00;500,00;2;Assaré;1;2;2;1;1;1;1;0;0;0;0;;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;0;
63;Biologia;noite;III;1;22;2;0;350,00;900,00;2;Assaré;1;2;2;1;1;1;1;0;0;0;0;;1;2;1;2;1;2;4;1;2;1;0;3;1;1;2;0;
64;Biologia;noite;III;0;29;2;2;998,00;998,00;1;Juazeiro do Norte;1;3;2;1;1;0;1;0;1;1;0;;0;0;1;2;0;0;0;0;0;1;1;0;0;0;2;0;
65;Biologia;Integral;III;0;29;12;0;0,00;2000,00;0;Barbalha;1;2;2;0;0;0;1;0;1;2;0;;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
66;Biologia;noite;IV;1;20;5;0;0,00;1996,00;0;Crato;1;3;0;2;1;1;1;0;1;0;1;1;;1;0;1;1;2;3;3;3;1;1;0;1;1;2;1;3
67;Biologia;noite;X;1;24;6;0;0,00;998,00;0;Jardim;1;2;0;0;1;0;0;0;1;0;1;1;;0;1;2;0;0;0;0;0;0;0;0;2;3;2;0;
68;Biologia;Integral;III;0;20;5;0;0,00;998,00;0;Juazeiro do Norte;1;2;0;4;0;1;0;0;0;0;0;;0;1;0;2;0;0;0;0;0;0;0;0;0;0;2;0;
69;Biologia;Integral;III;0;21;2;0;200,00;1700,00;5;Juazeiro do Norte;1;2;2;0;0;1;1;0;0;0;0;;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;
70;Biologia;Integral;III;0;20;2;0;0,00;1000,00;0;Crato;1;2;2;1;1;1;1;0;1;0;0;;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;
71;Biologia;Integral;III;0;19;3;0;50,00;2500,00;0;Juazeiro do Norte;1;2;2;1;1;0;1;0;0;0;0;;1;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;
72;Biologia;noite;VI;1;19;3;0;0,00;1000,00;0;Juazeiro do Norte;1;3;0;0;2;0;1;0;0;0;0;;1;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;
73;Biologia;noite;III;1;19;2;0;500,00;1000,00;2;Varzea Alegre;1;2;1;0;1;1;1;1;0;0;1;2;;1;1;2;1;1;5;3;2;1;0;3;2;0;3;1;1
74;Biologia;Integral;IX;1;23;5;0;400,00;231,00;5;Crato;1;3;2;4;1;1;1;0;0;0;0;;1;2;1;0;1;1;4;1;2;0;0;0;1;1;2;1;0
